"","test003017271018","test003017273008","test003017273009","test003017273010","test003017273011","test003017273012","test003017273013","test003017273014","test003017273015","test003017273016","test003017273017","test003017273018","test003017273019","test003017273020","test003017273021","test003017273022","test003017273023","test003017273024","test003017273025","test003017273026","test003017273027","test003017273028","test003017273029","test003017273030","test003017276019","test003017276020","test003017276021","test003017276022","test003017276023","test003017276024","test003017276025","test003017276026","test003017276027","test003017276028","test003017276029","test003017276030","test003017277026","test003017277027","test003017277028","test003017277029","test003017277030","test003017278001","test003017278002","test003017278003","test003017278004","test003017278005","test003017278006","test003017278007"
"1367452_at",33.4524620452089,38.4692621567442,35.5674747023801,38.4235237491825,35.7798313266151,36.7916880892156,37.4094507061653,39.4247266326763,40.6832153572893,38.9808038943925,37.4474399226901,37.6266172396142,43.7220719603049,40.2091460835476,45.8583093733753,40.454713764286,42.1367940744447,43.6945086122198,42.9010335595296,43.7621130817753,43.6696847524802,45.3907435823419,47.4671501265261,45.8933938927197,42.0379874333618,44.0097451245697,40.9892963377647,36.2441365987052,43.3409417479713,40.8101911160492,41.9327131450908,44.3603324943318,45.5456312830464,42.7091742177776,42.2153443734179,37.4130262682257,43.0378134090671,47.9678094889841,47.3416548677305,48.3715172577571,42.3552777048928,41.8394841252641,43.9276976359703,37.9092842696639,40.207272180886,41.0889195540864,45.8063751460648,38.0528842028956
"1367453_at",26.6484535054277,26.9465489137233,26.2050865634033,28.557078115808,27.4306228047924,27.0555138056403,25.4468515938252,30.2556805361196,25.7459226408928,28.0014804031972,26.9808970154617,29.9433453759874,34.5943434289504,30.9077271997772,30.8669021598291,29.7017260696563,28.7954730361238,28.1633717545146,35.8505419484524,32.1191512098699,32.2901900050178,27.633172209034,31.1862051288448,29.611750353575,34.1161206011904,33.8303060292044,31.8197888058456,26.4008993094938,30.3884335288155,28.7491458292921,33.2912381169966,33.4625855425189,33.6195106168071,29.5754327287205,25.5319239701921,24.2916267282631,31.4842615293495,33.6009966723921,31.7678641674935,31.7574269303601,28.630875242904,30.9474058261588,33.5412431985876,32.8523056521274,33.1724877607576,34.9555928321574,31.1139827227467,32.8570667583939
"1367454_at",28.5939000579764,27.3753363259407,24.0045134563745,28.2857348289581,28.7785024061309,30.5367921192008,22.4535480565138,29.672684078343,27.4162336488518,28.8304746325142,25.1939062445256,27.6913440084751,35.4761820354678,37.315400339864,47.3562365815898,31.243266414937,31.6429775311001,35.8102222899323,34.0200336083445,33.1233427639572,41.1279872861715,35.2604085535942,40.2193293142754,31.5829155813266,48.5365653300603,44.3722935602173,42.8027403041106,28.7161344162357,38.6231954548564,28.4901662643869,39.7023463767402,38.4070200243911,48.6326535018456,40.0752279366118,38.4776038396744,32.4930087148794,28.5419577727846,30.6456296734344,36.1609950881128,31.1259724381606,26.189806182303,27.3237811011622,25.0361628066709,29.244502816353,26.2180305061027,28.90069697808,33.6954005710529,25.6448071281639
"1367455_at",70.7266872219093,67.278376090427,67.8937076378675,67.3226111730201,66.8326776421921,78.3321990585992,63.8673679040273,75.2881142428844,78.1373641824636,78.5058656386294,76.3992409276839,71.6610030317487,96.1862815186635,80.8384131671912,84.5478772547309,90.8745641223014,94.7965061481983,85.6850597753122,82.6239147802801,83.9755870296254,88.9164151494375,80.5833716619451,81.7297655276123,86.3268800055963,77.6830558305289,97.370765209896,82.5964313019657,74.0113642145241,77.5422343055474,70.525970471496,89.5941369555762,89.249795221417,92.1698845004545,82.9782247193777,80.7291039834624,77.7454231419213,68.7067601128664,86.8374754789693,76.4576966975111,73.7407424910544,80.1100985129725,77.9613066344532,73.4666606738627,71.5672252411168,75.8801996899172,85.5065853170117,72.4723677790566,69.6399642594642
"1367456_at",101.069769107849,99.0468197360073,97.2171973128146,102.713616906396,98.0220931905463,116.69156282361,114.523244686214,106.629463506813,119.915202331993,103.918008465109,115.818411101011,112.494169395632,125.314571735183,115.789608435631,137.471268166067,121.775107621578,125.260761187593,118.579795475321,126.4112337061,135.0025753845,125.221282167551,115.201773569853,125.308324006188,127.607485608032,121.258239270392,126.853807762848,118.020806232144,101.888453263746,111.204533735943,105.827986365588,118.255028036385,140.930333012518,131.822777405172,114.535015298601,109.205642272256,98.1784568502977,109.083947011812,126.556990067004,114.777082798126,124.578973468848,109.381839640311,108.582585238255,116.867437723257,110.53398658283,107.486220809552,122.336889142861,110.439817176186,110.587861852526
"1367457_at",10.1585873780426,12.550238429656,11.0236728302097,12.1953676587348,9.79100343042097,10.3776610479582,8.97642147296987,11.3676309573574,12.1164696833033,12.4157813065622,12.6245873186776,9.56839094329609,15.6313500916021,13.3604447066734,14.7510962510019,13.1069158753672,13.1266205949863,13.9774477312134,13.8208414467908,14.8832411588351,13.8849885739649,13.0267704087628,13.5816318322074,13.095892883566,15.6760505433687,12.7584115322064,14.4850840986422,11.3323804426925,12.526384371822,12.9343003443012,13.7937485173566,14.0903097285825,14.1578662736898,11.5095690902578,10.9165133933197,9.13607664534204,12.4167288836491,14.6420168881477,14.6803005329783,15.9651970610712,11.7091440444294,12.5880451992399,13.0459119993047,14.1197681578314,14.3370579936584,14.6140370692746,15.095855424271,12.8364515409946
"1367458_at",7.73364633554065,8.55580201971492,7.6055120020904,8.619700056643,7.58461898521358,7.95919019275831,8.17027502779623,9.12954053692011,8.21712685137173,8.02983073563662,8.51594397477407,8.11577938261523,9.71329515676869,7.85726813160196,8.29567730314944,9.41134933782012,8.79530298454123,9.01390324068222,9.8685509972664,10.3691070221241,9.37537010909761,8.72546716901866,9.50492497466974,9.01251423672083,10.5293239020591,10.0144323982649,8.80982127825657,7.17860556634548,7.99599865496701,9.11626241561189,8.28578632692344,10.5327531542376,9.12371335637726,7.64876374591283,8.77685984531049,7.10934956116638,8.17964473291058,9.70438915085682,9.7540914451009,9.22563751268336,8.18602241971914,9.28982263967958,7.87901815985073,9.31375763070945,8.60314052770052,8.93373372232694,7.79747903454294,8.63598412987218
"1367459_at",99.6782384958472,96.0766135013273,100.741316524387,100.357157483795,113.187605419336,110.63599933565,104.845015115376,114.145361154307,112.242749543723,124.400671137567,116.679582304625,107.409171490322,131.955720229548,117.053380568014,131.994948798352,119.206051112319,112.053815266402,114.836163955522,132.337731828551,115.810978893689,117.406232422897,114.137834245929,115.562835805214,123.244426647032,144.48304231222,133.682463370976,120.907765146028,120.691892243678,117.840963880716,113.138843714232,124.624197060785,148.866954913944,135.211508062642,124.110810145648,114.219721911612,125.238740908349,127.112773296595,137.591821605157,128.400550841719,131.928349326136,123.962507013548,116.880438452186,129.890356080914,125.150859835717,123.66728224021,146.789026308479,142.884526964436,131.5977926336
"1367460_at",68.7518012734102,68.2722539676874,66.9443602815267,70.8874839741875,65.702127416496,70.3567570647143,66.2702141774594,73.0828669089573,72.9296311778376,71.0961999233732,76.1462975024693,79.4987488986657,84.4690913289688,78.6254736645811,79.5838584114377,75.5002369166392,79.3478736600317,73.4156136774894,78.5905412618074,80.313558161635,79.6956228813734,74.9602386975877,77.3935423822606,75.9443720488607,85.0266939466318,78.6541720698437,74.217290897731,65.8980824403735,69.7656578550599,65.1464033550307,75.653033825992,87.9861525950608,83.2202026071914,63.9844747606685,67.4393229017305,63.0523418759168,76.1720652345463,95.4929765145808,83.0256441882937,81.8566143700984,66.4252468046355,71.5958261329734,77.0168107262104,77.287128796738,81.399474840905,83.7047215328235,78.3170060597866,70.8898558475748
"1367461_at",26.7198111110975,25.3867195440569,29.1628546188183,26.0325157086634,24.0627710282922,27.9758032124576,27.7241993066685,30.0311343750971,35.5814189022502,32.7322411799919,36.9458668358653,27.3836606378447,43.3982528763108,38.2704718659518,43.9573736587815,38.9216497400031,36.6553419939538,35.8073772798263,42.1409006981082,44.7739234574235,40.6441657936098,38.3948916487019,37.8338914268134,44.8751024535335,41.2853955606752,40.0528976319656,37.1869947376164,36.8549570312403,34.5142485194543,34.8567409725431,39.3850709193894,40.9893028072696,42.411998306612,46.1022155818925,56.3073963533137,45.5510153931691,31.7787659811145,36.4458278114898,34.6263006084203,35.3997317007312,35.496727442057,30.3499668963028,29.7890975658355,27.66248609497,31.4863058905231,32.2715961019887,30.2539060949224,28.2638370432758
